编号,新文件名,照片标题,原文件名
原名保留,佛教文物 国博 宋代 紫竹观音 复制品.jpg,佛教文物 国博 宋代 紫竹观音 复制品,佛教文物 国博 宋代 紫竹观音 复制品.jpg
原名保留,佛教文物 国博 明代 三彩菩萨坐像 供奉像.jpg,佛教文物 国博 明代 三彩菩萨坐像 供奉像,佛教文物 国博 明代 三彩菩萨坐像 供奉像.jpg
原名保留,佛教文物 国博 明代 铜鎏金千手千眼观音菩萨像 供奉像.jpg,佛教文物 国博 明代 铜鎏金千手千眼观音菩萨像 供奉像,佛教文物 国博 明代 铜鎏金千手千眼观音菩萨像 供奉像.jpg
原名保留,佛教文物 国博 明代 铜鎏金观音菩萨立像 供奉像.jpg,佛教文物 国博 明代 铜鎏金观音菩萨立像 供奉像,佛教文物 国博 明代 铜鎏金观音菩萨立像 供奉像.jpg
原名保留,佛教文物 国博 辽代 应县木塔模型 模型.jpg,佛教文物 国博 辽代 应县木塔模型 模型,佛教文物 国博 辽代 应县木塔模型 模型.jpg
原名保留,佛教文物 国博 辽代 彩绘木雕水月观音坐像 供奉像.jpg,佛教文物 国博 辽代 彩绘木雕水月观音坐像 供奉像,佛教文物 国博 辽代 彩绘木雕水月观音坐像 供奉像.jpg
原名保留,佛教文物 天津市博 明代 铜鎏金大持金刚像 护法像.jpg,佛教文物 天津市博 明代 铜鎏金大持金刚像 护法像,佛教文物 天津市博 明代 铜鎏金大持金刚像 护法像.jpg
原名保留,佛教文物 湖北省博 明代 德化窑白釉观音坐像 供奉像.jpg,佛教文物 湖北省博 明代 德化窑白釉观音坐像 供奉像,佛教文物 湖北省博 明代 德化窑白釉观音坐像 供奉像.jpg
原名保留,佛教文物 考古博 辽代 泥塑罗汉像 供奉像.jpg,佛教文物 考古博 辽代 泥塑罗汉像 供奉像,佛教文物 考古博 辽代 泥塑罗汉像 供奉像.jpg
原名保留,佛教文物 青州博 南北朝 北齐贴金彩绘圆雕佛立像 供奉像.jpg,佛教文物 青州博 南北朝 北齐贴金彩绘圆雕佛立像 供奉像,佛教文物 青州博 南北朝 北齐贴金彩绘圆雕佛立像 供奉像.jpg
原名保留,佛教文物 青州博 明代 德化窑白釉观音像 供奉像.jpg,佛教文物 青州博 明代 德化窑白釉观音像 供奉像,佛教文物 青州博 明代 德化窑白釉观音像 供奉像.jpg
原名保留,佛教文物 首都博 元代 景德镇窑青白釉水月观音菩萨像 供奉像.jpg,佛教文物 首都博 元代 景德镇窑青白釉水月观音菩萨像 供奉像,佛教文物 首都博 元代 景德镇窑青白釉水月观音菩萨像 供奉像.jpg
原名保留,佛教文物 首都博 南北朝 北魏大代款铜鎏金释迦牟尼佛像 供奉像.jpg,佛教文物 首都博 南北朝 北魏大代款铜鎏金释迦牟尼佛像 供奉像,佛教文物 首都博 南北朝 北魏大代款铜鎏金释迦牟尼佛像 供奉像.jpg
原名保留,佛教文物 首都博 南北朝 北魏太和廿三年阎惠端造释迦牟尼佛二胁侍菩萨像 供奉像.jpg,佛教文物 首都博 南北朝 北魏太和廿三年阎惠端造释迦牟尼佛二胁侍菩萨像 供奉像,佛教文物 首都博 南北朝 北魏太和廿三年阎惠端造释迦牟尼佛二胁侍菩萨像 供奉像.jpg
原名保留,佛教文物 首都博 宋代 影青釉观音坐像 供奉像.jpg,佛教文物 首都博 宋代 影青釉观音坐像 供奉像,佛教文物 首都博 宋代 影青釉观音坐像 供奉像.jpg
原名保留,佛教文物 首都博 明代 嘉靖款铜鎏金普贤菩萨像 供奉像.jpg,佛教文物 首都博 明代 嘉靖款铜鎏金普贤菩萨像 供奉像,佛教文物 首都博 明代 嘉靖款铜鎏金普贤菩萨像 供奉像.jpg
原名保留,佛教文物 首都博 明代 织锦夹金五佛冠 法器.jpg,佛教文物 首都博 明代 织锦夹金五佛冠 法器,佛教文物 首都博 明代 织锦夹金五佛冠 法器.jpg
原名保留,佛教文物 首都博 明代 金嵌宝石梵文簪 法器.jpg,佛教文物 首都博 明代 金嵌宝石梵文簪 法器,佛教文物 首都博 明代 金嵌宝石梵文簪 法器.jpg
原名保留,佛教文物 首都博 明代 铜增长天王像 护法像.jpg,佛教文物 首都博 明代 铜增长天王像 护法像,佛教文物 首都博 明代 铜增长天王像 护法像.jpg
原名保留,佛教文物 首都博 清代 粉彩白度母瓷造像 供奉像.jpg,佛教文物 首都博 清代 粉彩白度母瓷造像 供奉像,佛教文物 首都博 清代 粉彩白度母瓷造像 供奉像.jpg
原名保留,佛教文物 首都博 清代 金嵌宝石无量寿佛及金佛龛 供奉像.jpg,佛教文物 首都博 清代 金嵌宝石无量寿佛及金佛龛 供奉像,佛教文物 首都博 清代 金嵌宝石无量寿佛及金佛龛 供奉像.jpg
原名保留,佛教文物 首都博 清代 铜鎏金十字金刚杵 法器.jpg,佛教文物 首都博 清代 铜鎏金十字金刚杵 法器,佛教文物 首都博 清代 铜鎏金十字金刚杵 法器.jpg
原名保留,佛教文物 首都博 清代 铜鎏金绿度母像 供奉像.jpg,佛教文物 首都博 清代 铜鎏金绿度母像 供奉像,佛教文物 首都博 清代 铜鎏金绿度母像 供奉像.jpg
原名保留,佛教文物 首都博 清代 铜鎏金金刚铃头 法器.jpg,佛教文物 首都博 清代 铜鎏金金刚铃头 法器,佛教文物 首都博 清代 铜鎏金金刚铃头 法器.jpg

说明：标题取自文件名（去掉扩展名）；「原名保留」行的文件名未被改动，回滚时会自动跳过。
"回滚命令：python rename_album.py --rollback ""1_对照表.csv"""
